outPkts,inPkts,outByts,inByts,outData,outDataByts,inData,inDataByts,outPkts/s,inPkts/s,outByts/s,inByts/s,byts/s,pkts/s,outPktLenMax,outPktLenMin,outPktLenMean,inPktLenMax,inPktLenMin,inPktLenMean,FIN,SYN,RST,PSH,ACK,URG,CWR,ECE,ftp,ssh,telnet,http,https,well-known port,registered port,dynamic port,Label
48004,11,11,4168,572,11,3596,0,0,22.22,22.22,8420.43,1155.59,9576.02,44.44,744,744,378.90909090909093,52,52,52.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
56168,8,8,416,3904,0,0,8,3488,16.03,16.03,833.5,7822.05,8655.55,32.06,52,52,52.0,984,984,488.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
52136,10,0,4044,0,8,3472,0,0,8.88,0.0,3590.89,0.0,3590.89,8.88,984,984,404.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,11,11,644,1288,2,72,9,716,11.6,11.6,679.02,1358.04,2037.06,23.2,88,88,58.54545454545455,176,176,117.0909090909091,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,18,22,2216,1368,18,1280,6,224,14.99,18.32,1845.24,1139.12,2984.3599999999997,33.31,184,184,123.11111111111111,96,96,62.18181818181818,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,17,0,2092,0,16,1208,0,0,19.98,0.0,2458.37,0.0,2458.37,19.98,184,184,123.05882352941177,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,12,8,776,944,4,152,8,528,63.37,42.25,4097.92,4985.1,9083.02,105.62,96,96,64.66666666666667,184,184,118.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,6,3,428,288,3,116,2,96,6.16,3.08,439.34,295.63,734.97,9.24,96,96,71.33333333333333,112,112,96.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,6,10,952,672,6,640,4,152,5.73,9.55,909.23,641.81,1551.04,15.280000000000001,392,392,158.66666666666666,96,96,67.2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
80,6,5,407,416,0,0,0,0,11.39,9.49,772.48,789.56,1562.04,20.880000000000003,139,139,67.83333333333333,200,200,83.2,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
52136,6,0,952,0,6,640,0,0,5.76,0.0,914.5,0.0,914.5,5.76,392,392,158.66666666666666,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,3,244,664,1,36,3,508,145.44,109.08,8871.76,24142.81,33014.57,254.51999999999998,88,88,61.0,392,392,221.33333333333334,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,2,368,272,3,108,2,168,5.09,2.03,374.43,276.75,651.1800000000001,7.119999999999999,88,88,73.6,184,184,136.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,4,8,448,560,4,240,4,144,3.72,7.43,416.11,520.14,936.25,11.15,184,184,112.0,88,88,70.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,448,0,4,240,0,0,3.91,0.0,438.4,0.0,438.4,3.91,184,184,112.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56168,11,6,752,528,5,180,6,216,15.47,8.44,1057.63,742.59,1800.2200000000003,23.91,88,88,68.36363636363636,88,88,88.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,8,352,560,4,144,4,144,7.7,15.4,677.65,1078.09,1755.7399999999998,23.1,88,88,88.0,88,88,70.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,5,0,440,0,5,180,0,0,4.93,0.0,433.93,0.0,433.93,4.93,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,13,9,912,996,5,236,8,528,14.43,9.99,1012.23,1105.46,2117.69,24.42,144,144,70.15384615384616,176,176,110.66666666666667,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,11,15,3332,1016,10,2760,5,236,10.63,14.49,3219.35,981.65,4201.0,25.12,2064,2064,302.90909090909093,144,144,67.73333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,10,0,3252,0,9,2732,0,0,9.43,0.0,3067.43,0.0,3067.43,9.43,2240,2240,325.2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56168,6,6,384,2832,2,72,4,2520,6.12,6.12,391.97,2890.76,3282.7300000000005,12.24,88,88,64.0,2240,2240,472.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
48004,7,7,776,436,5,412,2,72,10.16,10.16,1126.38,632.86,1759.2400000000002,20.32,232,232,110.85714285714286,88,88,62.285714285714285,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
52136,4,0,488,0,2,280,0,0,6.48,0.0,790.33,0.0,790.33,6.48,264,264,122.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
52136,6,0,500,0,3,188,0,0,7.05,0.0,587.54,0.0,587.54,7.05,168,168,83.33333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,7,6,508,500,4,144,3,188,8.46,7.25,613.68,604.01,1217.69,15.71,88,88,72.57142857142857,168,168,83.33333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,8,10,676,700,5,260,5,180,7.64,9.55,645.49,668.4,1313.8899999999999,17.19,152,152,84.5,88,88,70.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,3,332,2672,2,72,3,2516,8.73,5.24,579.68,4665.4,5245.08,13.97,88,88,66.4,2488,2488,890.6666666666666,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,2672,0,3,2516,0,0,5.25,0.0,4675.38,0.0,4675.38,5.25,2488,2488,890.6666666666666,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,2,3,2584,192,2,2480,1,36,32.09,48.14,41465.16,3081.0,44546.16,80.23,2488,2488,1292.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,4,368,2376,3,108,2,2168,5.24,4.19,385.49,2488.9,2874.3900000000003,9.43,88,88,73.6,2144,2144,594.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,4,6,2760,384,4,2552,2,72,3.96,5.93,2729.04,379.69,3108.73,9.89,2144,2144,690.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,2760,0,4,2552,0,0,3.92,0.0,2705.51,0.0,2705.51,3.92,2144,2144,690.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56168,4,4,244,2452,1,36,3,2244,7.66,7.66,467.11,4694.08,5161.19,15.32,88,88,61.0,1912,1912,613.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,2,4,2344,280,2,2240,2,72,2.42,4.84,2839.04,339.13,3178.17,7.26,1912,1912,1172.0,88,88,70.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,2448,0,2,2240,0,0,4.92,0.0,3008.69,0.0,3008.69,4.92,1912,1912,612.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,3,280,916,2,72,2,760,6.28,4.71,439.72,1438.5,1878.22,10.99,88,88,70.0,432,432,305.3333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,904,0,2,696,0,0,4.48,0.0,1012.87,0.0,1012.87,4.48,432,432,226.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,3,5,888,332,3,732,2,72,3.43,5.71,1014.29,379.21,1393.5,9.14,432,432,296.0,88,88,66.4,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,3,332,832,2,72,3,676,9.38,5.63,622.85,1560.87,2183.72,15.010000000000002,88,88,66.4,368,368,277.3333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,7,1088,472,5,828,3,108,4.99,6.98,1085.21,470.79,1556.0,11.97,400,400,217.6,88,88,67.42857142857143,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,6,0,1456,0,6,1144,0,0,5.84,0.0,1417.41,0.0,1417.41,5.84,400,400,242.66666666666666,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,7,5,472,1104,3,108,5,844,7.03,5.02,473.93,1108.5,1582.43,12.05,88,88,67.42857142857143,400,400,220.8,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,3,5,1120,296,3,964,1,36,5.9,9.83,2202.18,582.01,2784.1899999999996,15.73,640,640,373.3333333333333,88,88,59.2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,3,296,1152,1,36,3,996,6.36,3.82,376.52,1465.38,1841.9,10.18,88,88,59.2,640,640,384.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,1264,0,4,1056,0,0,5.03,0.0,1588.13,0.0,1588.13,5.03,640,640,316.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,7,776,472,4,568,3,108,4.1,7.17,795.03,483.57,1278.6,11.27,392,392,194.0,88,88,67.42857142857143,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,3,332,2240,2,72,3,2084,8.8,5.28,584.46,3943.37,4527.83,14.080000000000002,88,88,66.4,1976,1976,746.6666666666666,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,2240,0,3,2084,0,0,5.92,0.0,4422.08,0.0,4422.08,5.92,1976,1976,746.6666666666666,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
48004,1,1,1976,52,1,1924,0,0,82.62,82.62,163248.14,4296.0,167544.14,165.24,1976,1976,1976,52,52,52.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
22,3,2,192,2096,1,36,2,1992,25.6,17.06,1638.12,17882.85,19520.969999999998,42.66,88,88,64.0,1968,1968,1048.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,2,3,2096,192,2,1992,1,36,24.38,36.57,25553.69,2340.8,27894.489999999998,60.95,1968,1968,1048.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,2,0,2096,0,2,1992,0,0,34.11,0.0,35748.31,0.0,35748.31,34.11,1968,1968,1048.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
80,6,0,407,0,0,0,0,0,17.14,0.0,1162.6,0.0,1162.6,17.14,139,139,67.83333333333333,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0
22,9,9,612,888,4,144,5,420,14.75,14.75,1002.88,1455.16,2458.04,29.5,88,88,68.0,200,200,98.66666666666667,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,9,9,888,612,5,420,4,144,15.09,15.09,1488.84,1026.09,2514.93,30.18,200,200,98.66666666666667,88,88,68.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,11,0,1136,0,6,552,0,0,18.92,0.0,1953.83,0.0,1953.83,18.92,200,200,103.27272727272727,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,13,6,928,528,7,252,6,216,13.38,6.17,955.03,543.38,1498.4099999999999,19.55,88,88,71.38461538461539,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,7,14,616,980,7,252,6,216,7.08,14.15,622.61,990.52,1613.13,21.23,88,88,88.0,88,88,70.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,7,0,616,0,7,252,0,0,7.36,0.0,647.96,0.0,647.96,7.36,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
56168,9,5,612,440,4,144,5,180,11.7,6.5,795.85,572.18,1368.03,18.2,88,88,68.0,88,88,88.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,8,352,560,4,144,4,144,9.23,18.46,812.35,1292.37,2104.72,27.69,88,88,88.0,88,88,70.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,352,0,4,144,0,0,9.76,0.0,858.98,0.0,858.98,9.76,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,11,7,716,9428,4,144,7,9064,18.0,11.45,1171.66,15428.01,16599.670000000002,29.45,88,88,65.0909090909091,4708,4708,1346.857142857143,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,8,12,9488,768,8,9072,4,144,13.65,20.47,16185.7,1310.14,17495.84,34.12,4184,4184,1186.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,8,0,9444,0,8,9028,0,0,14.51,0.0,17131.5,0.0,17131.5,14.51,2948,2948,1180.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,3,2,192,272,1,36,2,168,24.05,16.03,1539.31,2180.69,3720.0,40.08,88,88,64.0,184,184,136.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,2,3,272,192,2,168,1,36,28.25,42.38,3842.65,2712.46,6555.110000000001,70.63,184,184,136.0,88,88,64.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,2,0,272,0,2,168,0,0,56.76,0.0,7719.77,0.0,7719.77,56.76,184,184,136.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,5,524,840,3,108,5,580,35.14,21.96,2301.67,3689.71,5991.38,57.1,88,88,65.5,392,392,168.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,5,8,840,524,5,580,3,108,22.29,35.66,3744.69,2335.97,6080.66,57.949999999999996,392,392,168.0,88,88,65.5,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,5,0,840,0,5,580,0,0,24.54,0.0,4122.64,0.0,4122.64,24.54,392,392,168.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,17,12,1064,1408,5,180,12,784,22.54,15.91,1411.05,1867.25,3278.3,38.45,88,88,62.588235294117645,232,232,117.33333333333333,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,8,15,780,1056,6,364,7,276,11.03,20.69,1075.63,1456.24,2531.87,31.72,228,228,97.5,112,112,70.4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,11,0,1320,0,11,748,0,0,15.82,0.0,1898.41,0.0,1898.41,15.82,232,232,120.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,4,2,280,272,2,72,2,168,21.44,10.72,1500.94,1458.05,2958.99,32.160000000000004,88,88,70.0,160,160,136.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,3,0,384,0,3,228,0,0,3.05,0.0,389.77,0.0,389.77,3.05,160,160,128.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,2,1,140,112,1,36,1,60,149.07,74.53,10434.89,8347.91,18782.8,223.6,88,88,70.0,112,112,112.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
22,2,1,140,96,1,36,1,44,85.21,42.6,5964.54,4089.97,10054.51,127.81,88,88,70.0,96,96,96.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,1,0,96,0,1,44,0,0,0,0,0,0,0,0,96,96,96,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,488,4,144,4,280,14.33,7.17,1003.19,874.21,1877.4,21.5,88,88,70.0,224,224,122.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,488,0,4,280,0,0,7.48,0.0,912.43,0.0,912.43,7.48,224,224,122.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,4,560,352,4,144,4,144,14.47,7.24,1013.05,636.77,1649.82,21.71,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,4,0,352,0,4,144,0,0,7.56,0.0,665.48,0.0,665.48,7.56,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,2,1,140,88,1,36,1,36,84.6,42.3,5921.95,3722.37,9644.32,126.89999999999999,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,1,0,88,0,1,36,0,0,0,0,0,0,0,0,88,88,88,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,14,7,980,616,6,216,7,252,14.11,7.05,987.36,620.62,1607.98,21.16,88,88,70.0,88,88,88.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,8,0,704,0,8,288,0,0,7.65,0.0,673.35,0.0,673.35,7.65,88,88,88.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,13,7,892,640,6,216,7,276,14.33,7.71,983.07,705.34,1688.41,22.04,88,88,68.61538461538461,104,104,91.42857142857143,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
52136,7,0,864,0,6,456,0,0,9.59,0.0,1183.06,0.0,1183.06,9.59,312,312,123.42857142857143,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
22,8,8,2016,2016,1,48,1,48,88.68,88.68,22347.63,22347.63,44695.26,177.36,1564,1564,252.0,1564,1564,252.0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
